zpid,state_code,state_name,address,street,city,zipcode,price,price_formatted,beds,baths,area_sqft,latitude,longitude,status,home_type,days_on_zillow,zestimate,detail_url,has_open_house,open_house_date,is_featured,state
115556675,CO,Colorado,"31300 Timber Canyon Rd, Trinidad, CO 81082",31300 Timber Canyon Rd,Trinidad,81082,449000,"$449,000",3,3,2514,37.28017,-104.58654,House for sale,SINGLE_FAMILY,173,NA,https://www.zillow.com/homedetails/31300-Timber-Canyon-Rd-Trinidad-CO-81082/115556675_zpid/,FALSE,NA,FALSE,CO
13726272,CO,Colorado,"9539 Grandview Avenue, Arvada, CO 80002",9539 Grandview Avenue,Arvada,80002,720000,"$720,000",4,3,2460,39.79854,-105.10398,House for sale,SINGLE_FAMILY,5,712200,https://www.zillow.com/homedetails/9539-Grandview-Ave-Arvada-CO-80002/13726272_zpid/,TRUE,2026-02-08T11:00:00Z,FALSE,CO
460330406,CO,Colorado,"12851 W Roxbury Place, Littleton, CO 80127",12851 W Roxbury Place,Littleton,80127,1390000,"$1,390,000",4,4,4665,39.587833,-105.143295,House for sale,SINGLE_FAMILY,1,NA,https://www.zillow.com/homedetails/12851-W-Roxbury-Pl-Littleton-CO-80127/460330406_zpid/,TRUE,2026-02-08T11:00:00Z,FALSE,CO
13732285,CO,Colorado,"4845 Ellis St, Golden, CO 80403",4845 Ellis St,Golden,80403,500000,"$500,000",2,1,2986,39.78459,-105.15852,House for sale,SINGLE_FAMILY,2,NA,https://www.zillow.com/homedetails/4845-Ellis-St-Golden-CO-80403/13732285_zpid/,FALSE,NA,FALSE,CO
13813769,CO,Colorado,"5700 S Jellison Street, Littleton, CO 80123",5700 S Jellison Street,Littleton,80123,775000,"$775,000",3,3,3507,39.61303,-105.10766,Coming soon,SINGLE_FAMILY,3,NA,https://www.zillow.com/homedetails/5700-S-Jellison-St-Littleton-CO-80123/13813769_zpid/,FALSE,NA,FALSE,CO
13761120,CO,Colorado,"7085 W 8th Place, Lakewood, CO 80214",7085 W 8th Place,Lakewood,80214,650000,"$650,000",2,2,1982,39.731014,-105.07547,House for sale,SINGLE_FAMILY,6,650500,https://www.zillow.com/homedetails/7085-W-8th-Pl-Lakewood-CO-80214/13761120_zpid/,FALSE,NA,FALSE,CO
13040106,CO,Colorado,"582 Revere Street, Aurora, CO 80011",582 Revere Street,Aurora,80011,400000,"$400,000",5,3,2005,39.72489,-104.83979,House for sale,SINGLE_FAMILY,7,401300,https://www.zillow.com/homedetails/582-Revere-St-Aurora-CO-80011/13040106_zpid/,FALSE,NA,FALSE,CO
62714964,CO,Colorado,"866 Aspen Village Rd, Divide, CO 80814",866 Aspen Village Rd,Divide,80814,450000,"$450,000",4,3,2456,38.971844,-105.19034,House for sale,SINGLE_FAMILY,3,NA,https://www.zillow.com/homedetails/866-Aspen-Village-Rd-Divide-CO-80814/62714964_zpid/,FALSE,NA,FALSE,CO
76273808,CO,Colorado,"1169 Longview Cir, Steamboat Springs, CO 80487",1169 Longview Cir,Steamboat Springs,80487,2175000,"$2,175,000",3,3,2616,40.469486,-106.82162,House for sale,SINGLE_FAMILY,5,2082400,https://www.zillow.com/homedetails/1169-Longview-Cir-Steamboat-Springs-CO-80487/76273808_zpid/,FALSE,NA,FALSE,CO
13750844,CO,Colorado,"16130 Mt Vernon Road, Golden, CO 80401",16130 Mt Vernon Road,Golden,80401,615000,"$615,000",3,2,1416,39.732506,-105.18134,House for sale,SINGLE_FAMILY,3,615800,https://www.zillow.com/homedetails/16130-Mount-Vernon-Rd-Golden-CO-80401/13750844_zpid/,TRUE,2026-02-08T00:00:00Z,FALSE,CO
